id,username,created_at,lng,lat,text
1383975649245761539,DuaneHi85456315,Mon Apr 19 02:48:02 +0000 2021,-83.804475,27.698681999999998,Sweet Dreams Fam.....let’s have a better day tomorrow #OneLove
1383975649468030981,DouglasLucena,Mon Apr 19 02:48:02 +0000 2021,-82.77283,27.904263,Gil KKKKKKKKKKKKKKKKKKKKKKKK
1383975649665175558,brianurhumble,Mon Apr 19 02:48:02 +0000 2021,-73.9685415,40.780709,That is a scarry bunch of mercenaries!
1383975648775999498,sethbannon,Mon Apr 19 02:48:02 +0000 2021,-122.432288,37.806757,Celebrating @elamadej and my first day being fully vaccinated with a delicious indoor dinner! Feels great to know w… https://t.co/0fPSyP13pV
1383975650386612226,DCSnead6,Mon Apr 19 02:48:02 +0000 2021,-82.985772,39.9946835,official again : I am all in on Jalen Hurts - he is the future - love the leader and athlete he is and think he’ll… https://t.co/cxjhpXrFMo
1383975650374021120,CarmenR90554468,Mon Apr 19 02:48:02 +0000 2021,-122.551095,45.410135,"Love it, Love it, Love it!!!! #tubabuyukustun #SefirinKizi #SancarEfe #EnginAkyurek #mavi"
1383975650608910338,BarberSox,Mon Apr 19 02:48:02 +0000 2021,-87.732013,41.8335845,#LOLz https://t.co/6n6l839IuT
1383975652076900357,lutziok88,Mon Apr 19 02:48:03 +0000 2021,-93.389864,41.938228499999994,Leo de nuevo un sancadilla ardido
1383975652672479233,Thee_realkayyy,Mon Apr 19 02:48:03 +0000 2021,-89.92202900000001,35.1335205,mane .😭
1383975653423271944,SpeedyVeez,Mon Apr 19 02:48:03 +0000 2021,-119.30660750000001,37.2691755,@PincheeeVanessa Yes!
1383975653943386112,CharIn0079,Mon Apr 19 02:48:03 +0000 2021,-80.926628,33.6311395,@YoungPaperwork 😭😭😭 none for today
1383975654006292489,MARABABYSTAR,Mon Apr 19 02:48:03 +0000 2021,-100.29359149999999,25.6417185,https://t.co/gzWEoyVBqt
1383975654882897921,Kathy8345,Mon Apr 19 02:48:03 +0000 2021,-77.60468399999999,41.1179365,@ACMawards @carrieunderwood @cecewinans Absolutely beautiful performance !
1383975654039834632,VOAYYH,Mon Apr 19 02:48:03 +0000 2021,-77.036562,38.897804,今天美國之音@VOAChinese 台灣姊妹台 #中華電視公司 #華視 正式進駐52台，能觸及124.5萬觀眾。很高興在首播就提供白宮報導。祝華視新聞越做越優質！Today our Taiwan affiliate #CTS mo… https://t.co/ZQAvisFRRY
1383975655641993223,straitjacket86,Mon Apr 19 02:48:03 +0000 2021,-97.45574099999999,35.695222,@John1and1 Need to jump on this NYKnicks train!
1383975656489308170,ParistooDeh,Mon Apr 19 02:48:04 +0000 2021,-123.123581,49.257639,@fortissimaa @Lagavulin161 @____Mehrdad____ زدی یا نزدی؟
1383975656459935748,wchazz,Mon Apr 19 02:48:04 +0000 2021,-86.73057,33.42854,Just posted a photo @ Life Time Fitness - Vestavia Hills https://t.co/r1ugEylpof
1383975656673841158,iCuatito,Mon Apr 19 02:48:04 +0000 2021,-100.29359149999999,25.6417185,"Es un tallón,roja alv"
1383975656749342723,suzanmoto,Mon Apr 19 02:48:04 +0000 2021,-122.88342399999999,49.300305,@Chumchu08391001 Chloe 💕 🤗 🐕 https://t.co/YQqFTBDqWc
1383975657160413184,4annegs,Mon Apr 19 02:48:04 +0000 2021,-80.926628,33.6311395,@Cory__1077 Just washing up his white mittens.
1383975657588199428,kozyauttie,Mon Apr 19 02:48:04 +0000 2021,-95.44648649999999,29.838495,a drive to gtown doesn’t sound bad rn but i don’t wanna go alone
1383975657781170179,AbelOfficialXXX,Mon Apr 19 02:48:04 +0000 2021,-106.632718,35.1170025,Me getting my meat and balls slurped on hella wet right now is everything 🤤🤤🤤😍
1383975659370811393,devdixon,Mon Apr 19 02:48:04 +0000 2021,-113.5777655,37.0855815,@blairfrei3 @cronair @Pasta14 is the man it will be great again ... blair is right it’s getting better and will be fantastic in a year
1383975659827908614,AkilahC_,Mon Apr 19 02:48:04 +0000 2021,-78.976213,33.7661365,miss u
1383975659945435137,coachdesicullen,Mon Apr 19 02:48:05 +0000 2021,-77.234527,38.788313,@GabrielNwosu33 Looking good man!
1383975659916042250,QDeezy1906,Mon Apr 19 02:48:05 +0000 2021,-80.926628,33.6311395,@Ms__TeacherLady https://t.co/Uv0gk6UGSH
1383975660637458436,1somerh0lic,Mon Apr 19 02:48:05 +0000 2021,-118.4119065,34.0207895,aff eu amo o gil 🥺💛
1383975659991560192,keriscaggs,Mon Apr 19 02:48:05 +0000 2021,-149.7587945,61.2350425,@StevenGlinert @kavrob3 @Noahpinion @micsolana Seriously. Am almost finished with this. What the Brits endured (whi… https://t.co/U9EDqYWuQd
